name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Southern Biscuit,Biscuit,"Freshly baked warm, flaky biscuit","Biscuit (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, BUTTERMILK, SUGAR, SODIUM ALUMINUM PHOSPHATE, SALT, BAKING SODA, DATEM, CALCIUM ACID PYROPHOSPHATE, POTASSIUM BICARBONATE, WHEAT PROTEIN ISOLATE, PECTIN, CREAM, NATURAL FLAVOR.)",,,,,,,
Cinnamon Streusel Coffee Cake,Cake,"Coffee cake infused with warm cinnamon, topped with a buttery streusel and brown sugar","Mix (CAKE MIX: ENRICHED FLOUR BLEACHED(WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE,RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, LEAVENING(BAKING SODA, SODIUM ALUMINUM PHOSPHATE).CONTAINS 2% OR LESS OF: DEXTROSE, NONFAT MILK,EGG YOLK WITH SODIUM SILICOALUMINATE, SALT,MODIFIED CORN STARCH, EGGS WITH SODIUMSILICOALUMINATE, XANTHAN GUM, SOY LECITHIN, WHEY,NATURAL FLAVOR, ANNATTO AND TURMERIC EXTRACTCOLOR.TOPPING MIX: ENRICHED FLOUR BLEACHED(WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE,RIBOFLAVIN, FOLIC ACID), BROWN SUGAR, SUGAR, PALMOIL, CINNAMON, SOY FLOUR, EGG, NONFAT MILK.), Water, Topping (CAKE MIX: ENRICHED FLOUR BLEACHED(WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE,RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, LEAVENING(BAKING SODA, SODIUM ALUMINUM PHOSPHATE).CONTAINS 2% OR LESS OF: DEXTROSE, NONFAT MILK,EGG YOLK WITH SODIUM SILICOALUMINATE, SALT,MODIFIED CORN STARCH, EGGS WITH SODIUMSILICOALUMINATE, XANTHAN GUM, SOY LECITHIN, WHEY,NATURAL FLAVOR, ANNATTO AND TURMERIC EXTRACTCOLOR.TOPPING MIX: ENRICHED FLOUR BLEACHED(WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE,RIBOFLAVIN, FOLIC ACID), BROWN SUGAR, SUGAR, PALMOIL, CINNAMON, SOY FLOUR, EGG, NONFAT MILK.)",,,,,,,
Old Fashioned Oatmeal,Cereal,Homestyle oatmeal cereal,"Water, Oatmeal",,,,,,,
Overnight Oats,Cereal,"A creamy combination of oatmeal, milk, yogurt and honey. ","Plain Non-Fat Greek Yogurt (CULTURED GRADE A NON FAT MILK, LIVE & ACTIVE  CULTURES S. THERMOPHILUS AND L. BULGARICUS.), Reduced Fat Milk, Honey, Oatmeal, Cinnamon, Pure Vanilla Extract, Kosher Salt",,,,,,,
Orange Mango Smoothie,Beverage,Orange Mango Smoothie,"Peach, Mangos, Ice Cubes, Orange Juice, Water, Granulated Sugar",,,,,,,
Lemon Honey Mascarpone Crepe,Pancakes/Waffles/French Toast,Golden brown crepe filled with lemon mascarpone and honey,"Marscapone Cheese (Pasteurized cream and milk, citric acid/ latte pastorizzato, panna, adico citrico.), Wheat Flour (BLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID.), Whole Milk, Water, Honey, Liquid Whole Eggs (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Lemon Juice, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Granulated Sugar, Kosher Salt",,,,,,,
Fontana Lemon Poppy Seed Muffin,QUICK BREADS,Freshly baked poppy seed muffin flavored with lemon juice and fresh lemon zest,"Wheat Flour, Granulated Sugar, Low-Fat Buttermilk, Liquid Egg Whites, Vegetable Oil Blend, Unsalted Butter, Poppy Seeds, Baking Powder, Pure Vanilla Extract, Lemon Zest, Cornstarch, Kosher Salt",,,,,,,
Smoked Chicken Apple Sausage,Meat/Cheese/Egg/Protein/Nut (MTO),Smoked chicken apple sausage,"Chicken Apple Sausage Link ((chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing))",,,,,,,
Egg Whites,Meat/Cheese/Egg/Protein/Nut (MTO),Liquid egg whites,,,,,,,,
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,,,,,
Eggs,Meat/Cheese/Egg/Protein/Nut (MTO),Ready-to-use blended eggs,,,,,,,,
Cottage Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy cottage cheese,,,,,,,,
Nonfat Strawberry Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy nonfat strawberry yogurt,,,,,,,,
Nonfat Vanilla Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat creamy vanilla yogurt,,,,,,,,
Chia Quinoa Crunch,Meat/Cheese/Egg/Protein/Nut (MTO),Sweet and toasty quinoa and chia seed crunch,,,,,,,,
Nonfat Greek Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat Greek yogurt,,,,,,,,
Toasted Sunflower Seeds,Meat/Cheese/Egg/Protein/Nut (MTO),Toasted sunflower seeds,,,,,,,,
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,,,,,
Honey Granola,Breads/Grains/Pasta/Cereal (MTO),"Crunchy cinnamon-spiced, honey-coated oats",,,,,,,,
Toasted Coconut,Dessert/Dessert Topping (MTO),Toasted coconut flakes,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh melon, pineapple and grapes","Honeydew, Cantaloupe, Red Grapes, Pineapple",,,,,,,
Sliced Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh mushrooms,,,,,,,,
Diced Onions,Fruit/Vegetable/Herb/Salad (MTO),Diced yellow onions,,,,,,,,
Sliced Mixed Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green and red bell peppers,,,,,,,,
Diced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Diced fresh tomatoes,,,,,,,,
Toasted Pumpkin Seeds,Fruit/Vegetable/Herb/Salad (MTO),Crunchy pumpkin seeds,,,,,,,,
Dried Cranberries,Fruit/Vegetable/Herb/Salad (MTO),Sweet-tart dried cranberries,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh honey dew, cantaloupe, pineapple and grapes",,,,,,,,
"GRAVY, SAUSAGE, MIX wr",Gravy,Southern Sausage Gravy ,"Water, Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.), Gravy Mix (MALTODEXTRIN, WHEY, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MODIFIEDCORNSTARCH, CANOLA OIL, SOYBEAN OIL, SKIM MILK, TAPIOCA STARCH, SALT, 2% OR LESS OF HYDROLYZED SOY, CORN AND WHEAT PROTEINS, SODIUM CASEINATE, XANTHAN GUM, SPICES, SUGAR, YEAST EXTRACT, CITRIC ACID, DISODIUM INOSINATE, NATURAL FLAVORS, DEXTROSE, DISODIUM GUANYLATE), Tabasco Hot Sauce (DISTILLED VINEGAR, RED PEPPER, SALT.), Black Pepper",,,,,,,
