name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Southwest Roasted Corn,Vegetables - Non-Green,Oven-roasted corn tossed with taco seasoning,"Corn Kernels, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Taco Seasoning (DEXTROSE, SALT, CORN FLOUR, CHILI PEPPER, CUMIN, ONION POWDER, GARLIC POWDER, OREGANO, CITRIC ACID, SILICON DIOXIDE (AS ANTICAKING AGENT) & EXTRACTIVES OF PAPRIKA.)",,,,,,,
Seasoned Peas and Carrots,Vegetables - Non-Green,Steamed peas and carrots seasoned with salt,"Peas, Carrots, Kosher Salt",,,,,,,
Broccoli & Cauliflower,Vegetables - Non-Green,Steamed broccoli and cauliflower,"Cauliflower, Broccoli",,,,,,,
Mexi-Rice,Rice,Taco-seasoned rice mixed with chunky salsa,"Water, White Rice, Medium salsa (Tomatoes (Tomatoes, Tomato Juice, Citric Acid [To Acidify], Calcium Chloride [Firming]), Tomato Puree (Tomato Paste, Water), Onions, Water, Green Chile Peppers, Jalapeño Peppers, Contains 2% or less of Iodized Salt (Contains Potassium Iodate), Distilled Vinegar, Garlic Powder, Xanthan Gum, Spice, Paprika, Calcium Chloride (Firming), Citric Acid (To Acidify)), Taco Seasoning (DEXTROSE, SALT, CORN FLOUR, CHILI PEPPER, CUMIN, ONION POWDER, GARLIC POWDER, OREGANO, CITRIC ACID, SILICON DIOXIDE (AS ANTICAKING AGENT) & EXTRACTIVES OF PAPRIKA.)",,,,,,,
Roasted Garlic Rice,Rice,White rice with roasted garlic,"Water, White Rice, Garlic, Canola Oil, Canola Oil, Kosher Salt, Black Pepper",,,,,,,
Roasted Garlic Rice,Rice,White rice with roasted garlic,"Water, White Rice, Garlic, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,,,,,
Crispy Seasoned French Fries,Potato,Piping hot crispy shoestring French fries seasoned with a fresh seasoning blend,"French Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Potato Starch - Modified. Contains 2% or less of Dextrin, Dextrose, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Pea Fiber, Pea Protein, Rice Flour, Salt, Sodium Acid Pyrophosphate Added To Maintain Color, Xanthan Gum.), Kosher Salt, Paprika, Garlic Powder",,,,,,,
Cheddar-Chive Mashed Potatoes,Potato,Mashed potatoes with Cheddar and chives,"Russet Potato, Whole Milk, Cheddar Cheese, Unsalted Butter, Chives, Kosher Salt, Black Pepper",,,,,,,
Butternut Squash Bisque,Cream/Bisque/Puree,"Puree of butternut squash and sweet potatoes spiced with pumpkin pie spice, nutmeg and fresh ginger","Water, Sweet Potato, Butternut Squash, Carrots, Celery, Onion, Vegetable Base, Vegetable Oil Blend, Ginger Root, Kosher Salt, Pumpkin Pie Spice, Black Pepper, Nutmeg, Thyme",,,,,,,
Grilled Cumin Lime Chicken,POULTRY ENTREE,"Tender boneless chicken marinated in lime juice, cumin, and garlic","Chicken Breast (Boneless skinless chicken breast filets with rib meat CONTAINING: Up to 15% of a solution of water, sea salt.), Lime Juice, Cumin, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Garlic, Cayenne Pepper",,,,,,,
Savory Pot Roast,BEEF ENTREE,"Slow braised beef roast with onion, carrot, tomato, garlic and bay leaves in savory beef gravy","Water, Beef Round Eye, Wine, Onion, Carrots, Celery, Tomatoes, Unsalted Butter, Wheat Flour,  Beef Base, Vegetable Oil Blend, Kosher Salt, Black Pepper, Garlic, Dried Bay Leaf",,,,,,,
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,,,,,
Black Beans,Meat/Cheese/Egg/Protein/Nut (MTO),Black beans,,,,,,,,
Chopped Hard-Cooked Egg,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped hard-cooked egg,,,,,,,,
Swiss Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced Swiss cheese,,,,,,,,
Provolone Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced provolone,,,,,,,,
American Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced American cheese,,,,,,,,
O'Hill Smash Burger*,Meat/Cheese/Egg/Protein/Nut (MTO),Juicy burger pressed with American cheese on a Martin's potato roll,"Ground Beef, Hamburger Roll (Unbleached Enriched Wheat Flour (flour, Ferrous Sulfate, Niacin, Thiamin, Riboflavin, Folic Acid), Nonfat Milk, Reconstituted Potatoes (from Potato Flour), Yeast, Sugar, Cane Sugar Syrup, Wheat Gluten, Sunflower Oil, Contains 2 Percent Or Less Of Each Of The Following: Salt, Butter, Dough Conditioners (sodium Stearoyl Lactylate, Monoglycerides And Diglycerides), Monocalcium Phosphate, Cultured Wheat Flour, Calcium Propionate (a Preservative), Guar Gum, Ascorbic Acid, Datem, Calcium Sulfate, Enzymes, Turmeric Color, Annatto Color, Sesame Seeds.), American Cheese (American Cheese (Milk, Cheese Culture, Salt, Enzymes), Water, Cream, Potassium Citrate, Sodium Citrate, Sorbic Acid As A Preservative, Color Added, Sunflower Lecithin (Release Agent).), Kosher Salt, Black Pepper",,,,,,,
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,,,,,
Pita Bread,Breads/Grains/Pasta/Cereal (MTO),Round pocket bread,"Pita Bread (ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [B1], RIBOFLAVIN [B2], FOLIC ACID), WATER, CONTAINS LESS THAN 2% OF SOYBEAN OIL AND/OR CANOLA OIL, YEAST, SALT, SUGAR, DOUGH CONDITIONER (WHEAT FLOUR, CALCIUM SULFATE, GUAR GUM, MONO-AND DIGLYCERIDES, AND ENZYMES [BROMELAIN, AMYLASE AND GLUCOSE OXIDASE]), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, MONOCALCIUM PHOSPHATE), NONFAT DRY MILK, CALCIUM PROPIONATE AND POTASSIUM SORBATE (PRESERVATIVES), GUAR GUM, YEAST NUTRIENTS (CALCIUM SULFATE, AMMONIUM SULFATE, ASCORBIC ACID, ENZYMES [AMYLASE, GLUCOSE OXIDASE AND HEMICELLULOSE])",,,,,,,
Baba Ghanoush,Spread,"A dip of mashed roasted eggplant, tahini, parsley, garlic and oil","Eggplant, Lemon Juice, Tahini (SESAME SEEDS.), Canola Oil, Parsley, Garlic, Kosher Salt, Black Pepper",,,,,,,
Smoky Chipotle Mayo,Spread,Vegan mayonnaise blended with chipotle peppers and cider vinegar,"Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Cider Vinegar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Kosher Salt",,,,,,,
Sliced Red Onions,Fruit/Vegetable/Herb/Salad (MTO),Thinly sliced red onions,,,,,,,,
Feta Cheese Crumbles,Fruit/Vegetable/Herb/Salad (MTO),Crumbled feta,,,,,,,,
Romaine Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Chopped romaine lettuce,,,,,,,,
Grape Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Fresh grape tomatoes,,,,,,,,
Sliced Green Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green bell peppers,,,,,,,,
Roasted Corn,Fruit/Vegetable/Herb/Salad (MTO),Roasted corn tossed with salt and pepper,,,,,,,,
Sliced Red Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced red bell peppers,,,,,,,,
Shredded Carrots,Fruit/Vegetable/Herb/Salad (MTO),Shredded fresh carrots,,,,,,,,
Spring Salad Mix,Fruit/Vegetable/Herb/Salad (MTO),Fresh spring lettuce mix,,,,,,,,
Green Leaf Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Green whole leaf lettuce,,,,,,,,
Sliced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh tomatoes,,,,,,,,
Caramelized Onions,Fruit/Vegetable/Herb/Salad (MTO),Sliced onions slowly sauteed until golden,,,,,,,,
Sliced Cucumber,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh cucumber,,,,,,,,
Chilled Roasted Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Chilled roasted fresh button mushrooms tossed with garlic and herbs,,,,,,,,
Dill Pickle Slices,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Dill pickle slices,"Pickle Slices (FRESH  CUCUMBERS, WATER, SALT, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF DRIED  GARLIC, CALCIUM CHLORIDE, SPICE, SODIUM BENZOATE (TO PRESERVE FLAVOR),  MUSTARD SEED, DRIED RED PEPPERS, NATURAL FLAVOR, POLYSORBATE 80, OLEORESIN  TURMERIC)",,,,,,,
Ranch Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Homestyle creamy ranch salad dressing,,,,,,,,
Hummus,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Creamy hummus spread,,,,,,,,
