name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Vanilla Iced Donut with Sprinkles,Yeast Bread,Freshly baked donut topped with vanilla icing and rainbow sprinkles,"Donut  (Enriched unbleached wheat flour (wheat flour, malted barley flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid), water, palm oil, yeast, skim milk, dextrose, sugar, soybean oil. Contains less than 2%: whey (a milk derivative), salt, defatted soy flour, leavening (sodium acid pyrophosphate, baking soda), cellulose gum, sodium stearoyl lactylate, mono and diglycerides, to preserve freshness (calcium propionate), guar gum, xanthan gum, colored with (beta carotene), egg whites), Vanilla Icing (SUGAR, PALM OIL, WATER, CORN SYRUP, CORN STARCH. CONTAINS 2% OR LESS OF: SALT,MONOGLYCERIDES, YELLOWS 5 ; 6 AND OTHER COLOR ADDED, POLYSORBATE 60, POTASSIUM SORBATE (PRESERVATIVE), NATURALAND ARTIFICIAL FLAVOR, SODIUM STEAROYL LACTYLATE, SODIUM ACID PYROPHOSPHATE, CITRIC ACID, NONFAT MILK.), Rainbow Sprinkles (Sugar, Corn Starch, Palm & Palm Kernel Oil,  Soy Lecithin, Dextrin, Confectioners Glaze, Carnauba Wax, FD&C Colors,  Yellow #5 Lake, Yellow #6 Lake, Red #40 Lake, Blue #1 Lake, FD&C Red #3.)",,,,,,,
Southern Biscuit,Biscuit,"Freshly baked warm, flaky biscuit","Biscuit (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, BUTTERMILK, SUGAR, SODIUM ALUMINUM PHOSPHATE, SALT, BAKING SODA, DATEM, CALCIUM ACID PYROPHOSPHATE, POTASSIUM BICARBONATE, WHEAT PROTEIN ISOLATE, PECTIN, CREAM, NATURAL FLAVOR.)",,,,,,,
Old Fashioned Oatmeal,Cereal,Homestyle oatmeal cereal,"Water, Oatmeal",,,,,,,
Overnight Oats,Cereal,"A creamy combination of oatmeal, milk, yogurt and honey. ","Plain Non-Fat Greek Yogurt (CULTURED GRADE A NON FAT MILK, LIVE & ACTIVE  CULTURES S. THERMOPHILUS AND L. BULGARICUS.), Reduced Fat Milk, Honey, Oatmeal, Cinnamon, Pure Vanilla Extract, Kosher Salt",,,,,,,
UVA Tropical Smoothie,COLD - BEVERAGES,Mango and Pineapple smoothie,"Pineapple, Pineapple Juice, Ice Cubes, Mangos, Water",,,,,,,
Fontana Double Chocolate Chip Espresso Muffin,QUICK BREADS,,"Low-Fat Buttermilk, Wheat Flour, Granulated Sugar, Chocolate Chips, Liquid Egg Whites, Baking Cocoa, Vegetable Oil Blend, Unsalted Butter, Baking Powder, Coffee, Pure Vanilla Extract, Kosher Salt",,,,,,,
Cinnamon Sugar Mascarpone Crepe,Pancakes/Waffles/French Toast,Golden brown crepe filled with cinnamon sugar and mascarpone cheese,"Marscapone Cheese (Pasteurized cream and milk, citric acid/ latte pastorizzato, panna, adico citrico.), Wheat Flour (BLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID.), Whole Milk, Water, Granulated Sugar, Liquid Whole Eggs (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Cinnamon, Granulated Sugar, Kosher Salt",,,,,,,
Smoked Chicken Apple Sausage,Meat/Cheese/Egg/Protein/Nut (MTO),Smoked chicken apple sausage,"Chicken Apple Sausage Link ((chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing))",,,,,,,
Egg Whites,Meat/Cheese/Egg/Protein/Nut (MTO),Liquid egg whites,,,,,,,,
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,,,,,
Eggs,Meat/Cheese/Egg/Protein/Nut (MTO),Ready-to-use blended eggs,,,,,,,,
Cottage Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy cottage cheese,,,,,,,,
Nonfat Strawberry Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy nonfat strawberry yogurt,,,,,,,,
Nonfat Vanilla Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat creamy vanilla yogurt,,,,,,,,
Chia Quinoa Crunch,Meat/Cheese/Egg/Protein/Nut (MTO),Sweet and toasty quinoa and chia seed crunch,,,,,,,,
Nonfat Greek Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat Greek yogurt,,,,,,,,
Toasted Sunflower Seeds,Meat/Cheese/Egg/Protein/Nut (MTO),Toasted sunflower seeds,,,,,,,,
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,,,,,
Honey Granola,Breads/Grains/Pasta/Cereal (MTO),"Crunchy cinnamon-spiced, honey-coated oats",,,,,,,,
Toasted Coconut,Dessert/Dessert Topping (MTO),Toasted coconut flakes,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh melon, pineapple and grapes","Honeydew, Cantaloupe, Red Grapes, Pineapple",,,,,,,
Sliced Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh mushrooms,,,,,,,,
Diced Onions,Fruit/Vegetable/Herb/Salad (MTO),Diced yellow onions,,,,,,,,
Sliced Mixed Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green and red bell peppers,,,,,,,,
Diced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Diced fresh tomatoes,,,,,,,,
Toasted Pumpkin Seeds,Fruit/Vegetable/Herb/Salad (MTO),Crunchy pumpkin seeds,,,,,,,,
Dried Cranberries,Fruit/Vegetable/Herb/Salad (MTO),Sweet-tart dried cranberries,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh honey dew, cantaloupe, pineapple and grapes",,,,,,,,
"GRAVY, SAUSAGE, MIX wr",Gravy,Southern Sausage Gravy ,"Water, Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.), Gravy Mix (MALTODEXTRIN, WHEY, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MODIFIEDCORNSTARCH, CANOLA OIL, SOYBEAN OIL, SKIM MILK, TAPIOCA STARCH, SALT, 2% OR LESS OF HYDROLYZED SOY, CORN AND WHEAT PROTEINS, SODIUM CASEINATE, XANTHAN GUM, SPICES, SUGAR, YEAST EXTRACT, CITRIC ACID, DISODIUM INOSINATE, NATURAL FLAVORS, DEXTROSE, DISODIUM GUANYLATE), Tabasco Hot Sauce (DISTILLED VINEGAR, RED PEPPER, SALT.), Black Pepper",,,,,,,
