name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Baja Turkey Wrap,Artisan,"Turkey, Guacamole, lettuce, tomato, onion and plant based chipotle mayo on a wrap","Water, Tortilla Variety Pack (Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Interesterified and Hydrogenated Soybean Oils), contains 2% or less of: Salt, Sodium Acid Pyrophosphate, Baking Soda, Distilled Monoglycerides, Enzymes, Vital Wheat Gluten, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid (to maintain freshness). TOMATO BASIL SEASONING (Tomato Powder, Spices, Salt, Sugar, Red Bell Pepper, Sun-Dried Tomato, Soybean Oil, Yeast, Onion Powder, Garlic Powder, Natural And Artificial Flavor, Extractives of Paprika); SPINACH HERB SEASONING (Spinach Powder, Onion Powder, Spice, Salt, Garlic Powder, Soybean Oil, Yellow 5 Lake, Blue 1 Lake, Natural And Artificial Flavor), Dextrose, Artificial Flavors, Propylen Glycol, Yellow 5, Blue 1; GARLIC HERB SEASONING (Sugar, Corn Maltodextrin, Salt, Modified Corn Starch, Spices, Dehydrated Garlic, Red Bell Pepper, Medium Chain Triglycerides, Dehydrated Tomato, Natural and Artificial Flavor, Onion powder).), Tomato, Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Deli Turkey Breast, Onion, Kosher Salt, Guacamole (Hass Avocados, Distilled Vinegar, Contains 2% Or Less Of: Water, Jalapeño Peppers, Salt, Dehydrated Onion, Granulated Garlic, Erythorbic Acid (To Maintain Color), Sugar, Citric Acid (To Acidify).), Cider Vinegar, Lettuce, Brown Sugar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Mint, Thyme, Lime Juice, Kosher Salt, Rosemary, Cilantro",,,,,,,,
Boardwalk Tofu Wrap,Artisan,Italian seasoned tofu and spicy pepper relish on a spinach wrap,"Spinach Herb Tortilla, Tofu, Cherry Peppers, Banana Peppers, Roasted Red Peppers, Red Wine Vinegar, Pickle , Onion, Italian Seasoning, Garlic Powder, Kosher Salt",,,,,,,,
Corner Chicken Salad Croissant,Artisan,Creamy chicken salad with lettuce & tomato on a buttery croissant,"Croissant, Chicken, Tomato, Mayonnaise, Cucumber, Celery, Lettuce, Dijon Mustard, Lemon Juice, Black Pepper",,,,,,,,
Cavalier Club,Club,"Turkey, Ham, Bacon, lettuce, tomato & herb cream cheese layered on toasted artisan country white bread","Sour Dough Bread, Water, Bacon, Lettuce, Deli Ham, Tomato, Deli Turkey Breast, Onion, Kosher Salt, Cream Cheese, Brown Sugar, Mint, Lemon Juice, Thyme, Green Onion, Parsley, Rosemary, Garlic, Dried Tarragon, Basil, Kosher Salt, Crushed Red Pepper",,,,,,,,
Dill Veggie & Feta Salad,Salad Entrée,"Fresh greens tossed with tomato, cucumber, pepper, olives, pepperoncini, feta and dill vinaigrette","Lettuce Blend, Lettuce, Tomato , Onion, Feta Cheese, Cucumber, Vegetable Oil Blend, Green Bell Pepper, Pepperoncini  Peppers, Kalamata Olives, White Wine Vinegar, Red Wine Vinegar, Agave Nectar, Dill, Granulated Sugar, Garlic, Kosher Salt, Ground Mustard, Ground Mustard, Kosher Salt, Black Pepper, Black Pepper",,,,,,,,
Meze Tomato Cucumber Salad,Side Salad,Plum tomatoes and cucumbers tossed in lemon herb dressing,"Cucumber, Tomato, Extra Virgin Olive Oil, Red Wine Vinegar, Water, Lemon Juice, Garlic, Basil, Parsley, Kosher Salt, Dried Oregano, Black Pepper",,,,,,,,
Garlic Broccoli,Vegetables - Green,Sauteed broccoli florets with fresh garlic and black pepper,"Broccoli, Canola Oil, Garlic, Kosher Salt, Black Pepper",,,,,,,,
Roasted Cauliflower,Vegetables - Non-Green,Fresh cauliflower seasoned and roasted,"Cauliflower, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Kosher Salt, Black Pepper",,,,,,,,
Roasted Mushrooms,Vegetables - Non-Green,"Sliced mushrooms roasted with oil, salt and pepper","Mushrooms, Canola Oil, Kosher Salt, Black Pepper",,,,,,,,
Moroccan-Style Roasted Vegetables,Vegetables - Red/Orange,"Roasted fresh tomato, eggplant, zucchini, red peppers, chickpeas, and capers","Tomato, Garbanzo Beans, Eggplant, Squash Zucchini, Red Bell Pepper, Capers, Canola Oil, Kosher Salt, Black Pepper",,,,,,,,
Turkey Bacon,Breakfast Meat,Crispy turkey bacon strip,"Turkey Bacon (Turkey, Water, Sugar, 2% or less of Salt, Canola Oil, Sun flower Oil, Natural Flavor, Sodium Phosphate, Potassium Diacetate, Potassium Acetate, Smoke Flavor, Sodium Erythorbate, Sodium Nitrite.)",,,,,,,,
Roasted Red Pepper Hummus,Legumes,"Creamy dip of chickpeas, roasted red pepper, tahini, lemon juice, cumin and garlic","Garbanzo Beans, Red Bell Pepper, Tahini (SESAME SEEDS.), Lemon Juice, Garlic, Cumin, Kosher Salt, Cayenne Pepper",,,,,,,,
Couscous,Pasta/Noodle (Side),Tiny granules of semolina pasta,"Water, Couscous",,,,,,,,
Roasted Garlic Potatoes,Potato,Oven-roasted red potatoes tossed with roasted garlic,"Red Potato, Canola Oil, Garlic, Kosher Salt, Black Pepper, Canola Oil",,,,,,,,
Crispy Seasoned French Fries,Potato,Piping hot crispy shoestring French fries seasoned with a fresh seasoning blend,"French Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Potato Starch - Modified. Contains 2% or less of Dextrin, Dextrose, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Pea Fiber, Pea Protein, Rice Flour, Salt, Sodium Acid Pyrophosphate Added To Maintain Color, Xanthan Gum.), Kosher Salt, Paprika, Garlic Powder",,,,,,,,
Southern Biscuit,Biscuit,"Freshly baked warm, flaky biscuit","Biscuit (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, BUTTERMILK, SUGAR, SODIUM ALUMINUM PHOSPHATE, SALT, BAKING SODA, DATEM, CALCIUM ACID PYROPHOSPHATE, POTASSIUM BICARBONATE, WHEAT PROTEIN ISOLATE, PECTIN, CREAM, NATURAL FLAVOR.)",,,,,,,,
M&M® Brown Butter Blondie,Brownie/Bar,"Perfectly baked for a golden, toasty exterior & soft, chewy center, packed with the crunch of M&Ms®","Yellow Cake, Milk Chocolate, Egg Blend, Unsalted Butter, Brown Sugar",,,,,,,,
Fontana Raspberry Brownie,BROWNIES/BARS,,"Granulated Sugar, Vegetable Oil Blend, Liquid Whole Eggs, Wheat Flour, Baking Cocoa, Raspberry Preserves, Pure Vanilla Extract, Baking Powder, Kosher Salt",,,,,,,,
Fontana Blueberry Bread Pudding,PUDDING/CUSTARDS,,"Heavy Cream, Whole Milk, Bread (UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT GLUTEN, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: YEAST, SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO- AND DIGLYCERIDES, DISTILLED MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES, ASCORBIC ACID), SOYBEAN OIL, CANOLA OIL, WHEAT STARCH, SOY LECITHIN, CALCIUM PROPIONATE (TO RETARD SPOILAGE).), Liquid Whole Eggs (WHOLE EGGS, 19.0% WATER. CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, XANTHAN GUM, CITRIC ACID, ANNATTO (COLOR), BUTTER FLAVOR (SUNFLOWER OIL, NATURAL FLAVORS, MEDIUM CHAIN TRIGLYCERIDES).), Granulated Sugar, Blueberries, Pure Vanilla Extract, Lemon Juice",,,,,,,,
Smoked Chicken Apple Sausage,Meat/Cheese/Egg/Protein/Nut (MTO),Smoked chicken apple sausage,"Chicken Apple Sausage Link ((chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing))",,,,,,,,
Egg Whites,Meat/Cheese/Egg/Protein/Nut (MTO),Liquid egg whites,,,,,,,,,
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,,,,,,
Eggs,Meat/Cheese/Egg/Protein/Nut (MTO),Ready-to-use blended eggs,,,,,,,,,
Black Beans,Meat/Cheese/Egg/Protein/Nut (MTO),Black beans,,,,,,,,,
Chopped Hard-Cooked Egg,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped hard-cooked egg,,,,,,,,,
Swiss Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced Swiss cheese,,,,,,,,,
Provolone Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced provolone,,,,,,,,,
American Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced American cheese,,,,,,,,,
Pepper Jack Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Sliced Monterey Jack cheese with hot chile peppers,,,,,,,,,
O'Hill Smash Burger*,Meat/Cheese/Egg/Protein/Nut (MTO),Juicy burger pressed with American cheese on a Martin's potato roll,"Ground Beef, Hamburger Roll (Unbleached Enriched Wheat Flour (flour, Ferrous Sulfate, Niacin, Thiamin, Riboflavin, Folic Acid), Nonfat Milk, Reconstituted Potatoes (from Potato Flour), Yeast, Sugar, Cane Sugar Syrup, Wheat Gluten, Sunflower Oil, Contains 2 Percent Or Less Of Each Of The Following: Salt, Butter, Dough Conditioners (sodium Stearoyl Lactylate, Monoglycerides And Diglycerides), Monocalcium Phosphate, Cultured Wheat Flour, Calcium Propionate (a Preservative), Guar Gum, Ascorbic Acid, Datem, Calcium Sulfate, Enzymes, Turmeric Color, Annatto Color, Sesame Seeds.), American Cheese (American Cheese (Milk, Cheese Culture, Salt, Enzymes), Water, Cream, Potassium Citrate, Sodium Citrate, Sorbic Acid As A Preservative, Color Added, Sunflower Lecithin (Release Agent).), Kosher Salt, Black Pepper",,,,,,,,
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,,,,,,
Goldfish® Crackers,Breads/Grains/Pasta/Cereal (MTO),Cheese-flavored Goldfish® Crackers,,,,,,,,,
Croutons,Breads/Grains/Pasta/Cereal (MTO),Homestyle seasoned croutons,,,,,,,,,
Smoky Chipotle Mayo,Spread,Vegan mayonnaise blended with chipotle peppers and cider vinegar,"Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Cider Vinegar, Chipotle Peppers in Sauce (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Kosher Salt",,,,,,,,
Sliced Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh mushrooms,,,,,,,,,
Diced Onions,Fruit/Vegetable/Herb/Salad (MTO),Diced yellow onions,,,,,,,,,
Sliced Mixed Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green and red bell peppers,,,,,,,,,
Diced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Diced fresh tomatoes,,,,,,,,,
Sliced Red Onions,Fruit/Vegetable/Herb/Salad (MTO),Thinly sliced red onions,,,,,,,,,
Feta Cheese Crumbles,Fruit/Vegetable/Herb/Salad (MTO),Crumbled feta,,,,,,,,,
Romaine Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Chopped romaine lettuce,,,,,,,,,
Grape Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Fresh grape tomatoes,,,,,,,,,
Sliced Green Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green bell peppers,,,,,,,,,
Cucumbers,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh cucumbers,,,,,,,,,
Roasted Corn,Fruit/Vegetable/Herb/Salad (MTO),Roasted corn tossed with salt and pepper,,,,,,,,,
Sliced Red Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced red bell peppers,,,,,,,,,
Shredded Carrots,Fruit/Vegetable/Herb/Salad (MTO),Shredded fresh carrots,,,,,,,,,
Spring Salad Mix,Fruit/Vegetable/Herb/Salad (MTO),Fresh spring lettuce mix,,,,,,,,,
Green Leaf Lettuce,Fruit/Vegetable/Herb/Salad (MTO),Green whole leaf lettuce,,,,,,,,,
Sliced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh tomatoes,,,,,,,,,
Caramelized Onions,Fruit/Vegetable/Herb/Salad (MTO),Sliced onions slowly sauteed until golden,,,,,,,,,
Roasted Red Peppers,Fruit/Vegetable/Herb/Salad (MTO),Diced roasted red peppers,,,,,,,,,
Kalamata Olives,Fruit/Vegetable/Herb/Salad (MTO),Pitted kalamata olives,,,,,,,,,
Dill Pickle Slices,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Dill pickle slices,"Pickle Slices (FRESH  CUCUMBERS, WATER, SALT, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF DRIED  GARLIC, CALCIUM CHLORIDE, SPICE, SODIUM BENZOATE (TO PRESERVE FLAVOR),  MUSTARD SEED, DRIED RED PEPPERS, NATURAL FLAVOR, POLYSORBATE 80, OLEORESIN  TURMERIC)",,,,,,,,
Green Goddess Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),"Creamy, herb-infused plant-based mayo dressing","Vegan Mayonnaise (CANOLA OIL, WATER, SOYBEAN OIL, SUGAR, DISTILLED VINEGAR, SALT, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: MODIFIED FOOD STARCH (CORN, POTATO), LEMON JUICE CONCENTRATE, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), PAPRIKA OLEORESIN.), Lemon Juice, Green Onion, Dried Tarragon, Parsley, Kosher Salt, Black Pepper",,,,,,,,
Lite Italian Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Lite Italian salad dressing,,,,,,,,,
Balsamic Vinaigrette,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Tangy balsamic vinaigrette dressing,,,,,,,,,
Ranch Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Homestyle creamy ranch salad dressing,,,,,,,,,
Mayonnaise,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Mayonnaise,,,,,,,,,
Honey Mustard Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Honey mustard salad dressing,,,,,,,,,
Dijon Mustard,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Dijon mustard,,,,,,,,,
Burger Sauce,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),"Creamy blend of mayonnaise, ketchup, sweet pickle relish, Worcestershire and hot pepper sauce",,,,,,,,,
Fat-Free French Dressing,Condiments/Spreads/Dressings/Sauces/Salsas (MTO),Fat-free French salad dressing,,,,,,,,,
Harissa,Vegetable,A Moroccan-spiced red pepper and tomato based sauce,"Red Bell Pepper, Onion, Tomato, Garlic, Lemon Juice, Chipotle Soup Base  (WATER, TOMATO PASTE, DRIED CHIPOTLE PEPPERS, DISTILLED VINEGAR, CORN OIL, CONTAINS 2% OR LESS OF IODIZED SALT (CONTAINS POTASSIUM IODATE), CORN STARCH, ONION POWDER, GARLIC POWDER, SPICES.), Kosher Salt, Vegetable Oil Blend (Vegetable Oil (May contain one or more of the following: Soybean, Canola, Corn, Sunflower Oil); Olive Oil; Colorant: Beta-Carotene E160a(i)), Cumin, Coriander, Paprika, Black Pepper",,,,,,,,
"GRAVY, SAUSAGE, MIX wr",Gravy,Southern Sausage Gravy ,"Water, Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.), Gravy Mix (MALTODEXTRIN, WHEY, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MODIFIEDCORNSTARCH, CANOLA OIL, SOYBEAN OIL, SKIM MILK, TAPIOCA STARCH, SALT, 2% OR LESS OF HYDROLYZED SOY, CORN AND WHEAT PROTEINS, SODIUM CASEINATE, XANTHAN GUM, SPICES, SUGAR, YEAST EXTRACT, CITRIC ACID, DISODIUM INOSINATE, NATURAL FLAVORS, DEXTROSE, DISODIUM GUANYLATE), Tabasco Hot Sauce (DISTILLED VINEGAR, RED PEPPER, SALT.), Black Pepper",,,,,,,,
Lemon Tahini Dressing,Salad Dressing,"A blend of tahini, fresh lemon juice, garlic, parsley and cumin","Water, Tahini (SESAME SEEDS.), Lemon Juice, Parsley, Garlic, Cumin, Kosher Salt",,,,,,,,
