name,category,description,ingredients,diet_tags,allergens,sweet,salty,savory,spicy,sour,rich
Southern Biscuit,Biscuit,"Freshly baked warm, flaky biscuit","Biscuit (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED SOYBEAN OIL, BUTTERMILK, SUGAR, SODIUM ALUMINUM PHOSPHATE, SALT, BAKING SODA, DATEM, CALCIUM ACID PYROPHOSPHATE, POTASSIUM BICARBONATE, WHEAT PROTEIN ISOLATE, PECTIN, CREAM, NATURAL FLAVOR.)",,,,,,,,
Cinnamon Donut Bites,Quick Bread,Cinnamon-sugar donut holes,"Donut Holes (ENRICHED UNBLEACHED WHEAT FLOUR (WHEAT FLOUR,NIACIN, REDUCED IRON, THIAMINE MONONITRATE, ENZYME, RIBOFLAVIN, FOLIC ACID),PALM OIL, SUGAR, WATER, SOYBEAN OIL, CONTAINS LESS THAN 2% OF THEFOLLOWING: DEFATTED SOY FLOUR, EGG YOLKS, LEAVENING (SODIUM ACIDPYROPHOSPHATE, BAKING SODA), DEXTROSE, WHEAT STARCH, SALT, SKIM MILK,MODIFIED WHEAT STARCH, POTATO FLOUR, ARTIFICIAL FLAVOR, SODIUM STEAROYLLACTYLATE.), Granulated Sugar, Cinnamon",,,,,,,,
Old Fashioned Oatmeal,Cereal,Homestyle oatmeal cereal,"Water, Oatmeal",,,,,,,,
Overnight Oats,Cereal,"A creamy combination of oatmeal, milk, yogurt and honey. ","Plain Non-Fat Greek Yogurt (CULTURED GRADE A NON FAT MILK, LIVE & ACTIVE  CULTURES S. THERMOPHILUS AND L. BULGARICUS.), Reduced Fat Milk, Honey, Oatmeal, Cinnamon, Pure Vanilla Extract, Kosher Salt",,,,,,,,
Strawberry & Cream Cheese Crepe,Pancakes/Waffles/French Toast,Golden brown crepe filled with strawberry preserves and cream cheese,"Strawberry Preserve, Cream Cheese, Wheat Flour, Whole Milk, Water, Liquid Whole Eggs, Vegetable Oil Blend, Granulated Sugar, Kosher Salt",,,,,,,,
FONTANA Muffin Reg Blueberry,QUICK BREADS,,"Water, Blueberries, Low Fat Variety Muffin Mix (ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN,  IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, PALM OIL, MODIFIED CORN STARCH, MODIFIED WHEY. CONTAINS  2% OR LESS OF: LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), DEXTROSE, MONO AND  DIGLYCERIDES, SALT, EGGS WITH SODIUM SILICOALUMINATE, XANTHAN GUM, NONFAT MILK, NATURAL FLAVOR, SOY FLOUR.)",,,,,,,,
Pineapple Kale Smoothie,COLD - BEVERAGES,Pineapple Kale Smoothie,"Pineapple, Ice Cubes, Kale, Oat Milk (Oat base (water, oats), low erucic acid rapeseed oil. Contains 2% or less of: dipotassium phosphate, calcium carbonate, tricalcium phosphate, sea salt, dicalcium phosphate, riboflavin, vitamin A acetate, vitamin D2, vitamin B12), Water",,,,,,,,
Smoked Chicken Apple Sausage,Meat/Cheese/Egg/Protein/Nut (MTO),Smoked chicken apple sausage,"Chicken Apple Sausage Link ((chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing))",,,,,,,,
Egg Whites,Meat/Cheese/Egg/Protein/Nut (MTO),Liquid egg whites,,,,,,,,,
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,,,,,,
Eggs,Meat/Cheese/Egg/Protein/Nut (MTO),Ready-to-use blended eggs,,,,,,,,,
Cottage Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy cottage cheese,,,,,,,,,
Nonfat Strawberry Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy nonfat strawberry yogurt,,,,,,,,,
Nonfat Vanilla Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat creamy vanilla yogurt,,,,,,,,,
Chia Quinoa Crunch,Meat/Cheese/Egg/Protein/Nut (MTO),Sweet and toasty quinoa and chia seed crunch,,,,,,,,,
Nonfat Greek Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat Greek yogurt,,,,,,,,,
Toasted Sunflower Seeds,Meat/Cheese/Egg/Protein/Nut (MTO),Toasted sunflower seeds,,,,,,,,,
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,,,,,,
Honey Granola,Breads/Grains/Pasta/Cereal (MTO),"Crunchy cinnamon-spiced, honey-coated oats",,,,,,,,,
Toasted Coconut,Dessert/Dessert Topping (MTO),Toasted coconut flakes,,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh melon, pineapple and grapes","Honeydew, Cantaloupe, Red Grapes, Pineapple",,,,,,,,
Sliced Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh mushrooms,,,,,,,,,
Diced Onions,Fruit/Vegetable/Herb/Salad (MTO),Diced yellow onions,,,,,,,,,
Sliced Mixed Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green and red bell peppers,,,,,,,,,
Diced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Diced fresh tomatoes,,,,,,,,,
Toasted Pumpkin Seeds,Fruit/Vegetable/Herb/Salad (MTO),Crunchy pumpkin seeds,,,,,,,,,
Dried Cranberries,Fruit/Vegetable/Herb/Salad (MTO),Sweet-tart dried cranberries,,,,,,,,,
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh honey dew, cantaloupe, pineapple and grapes",,,,,,,,,
"GRAVY, SAUSAGE, MIX wr",Gravy,Southern Sausage Gravy ,"Water, Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.), Gravy Mix (MALTODEXTRIN, WHEY, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MODIFIEDCORNSTARCH, CANOLA OIL, SOYBEAN OIL, SKIM MILK, TAPIOCA STARCH, SALT, 2% OR LESS OF HYDROLYZED SOY, CORN AND WHEAT PROTEINS, SODIUM CASEINATE, XANTHAN GUM, SPICES, SUGAR, YEAST EXTRACT, CITRIC ACID, DISODIUM INOSINATE, NATURAL FLAVORS, DEXTROSE, DISODIUM GUANYLATE), Tabasco Hot Sauce (DISTILLED VINEGAR, RED PEPPER, SALT.), Black Pepper",,,,,,,,
