name,category,description,ingredients,diet_tags,allergens,sweet,sour,bitter,spicy,dry
Overnight Oats,Cereal,"A creamy combination of oatmeal, milk, yogurt and honey. ","Plain Non-Fat Greek Yogurt (CULTURED GRADE A NON FAT MILK, LIVE & ACTIVE  CULTURES S. THERMOPHILUS AND L. BULGARICUS.), Reduced Fat Milk, Honey, Oatmeal, Cinnamon, Pure Vanilla Extract, Kosher Salt",,,4.6,2.9,0.5,2.1,2.3
Mango Banana Coconut Smoothie,COLD - BEVERAGES,Mango Banana Coconut Smoothie,"Mangos, Banana, Coconut Milk (Coconut, Water, Guar gum.), Ice Cubes, Water",,,0.4,2.2,2.9,3.0,3.6
Smoked Chicken Apple Sausage,Meat/Cheese/Egg/Protein/Nut (MTO),Smoked chicken apple sausage,"Chicken Apple Sausage Link ((chicken thigh meat with skin, chicken breast meat with rib meat, water, contains 2% or less of salt, spices, dextrose, sugar, yeast extract, natural flavors, lactic acid. in collagen casing))",,,0.4,4.9,4.6,0.1,4.3
Egg Whites,Meat/Cheese/Egg/Protein/Nut (MTO),Liquid egg whites,,,,0.1,0.5,1.6,1.5,4.9
Shredded Cheddar Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Shredded Cheddar cheese,,,,4.2,1.0,3.3,3.3,4.3
Eggs,Meat/Cheese/Egg/Protein/Nut (MTO),Ready-to-use blended eggs,,,,3.9,0.8,0.7,1.5,0.1
Cottage Cheese,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy cottage cheese,,,,4.4,3.3,3.6,3.1,1.8
Nonfat Strawberry Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Creamy nonfat strawberry yogurt,,,,4.9,1.3,1.4,2.1,3.6
Nonfat Vanilla Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat creamy vanilla yogurt,,,,4.0,2.3,0.9,0.7,0.9
Chia Quinoa Crunch,Meat/Cheese/Egg/Protein/Nut (MTO),Sweet and toasty quinoa and chia seed crunch,,,,2.3,1.2,2.9,1.5,2.6
Nonfat Greek Yogurt,Meat/Cheese/Egg/Protein/Nut (MTO),Nonfat Greek yogurt,,,,3.9,0.8,0.1,2.8,0.3
Toasted Sunflower Seeds,Meat/Cheese/Egg/Protein/Nut (MTO),Toasted sunflower seeds,,,,0.6,0.6,4.1,3.0,1.0
Chopped Fresh Spinach,Meat/Cheese/Egg/Protein/Nut (MTO),Chopped fresh spinach,,,,3.2,3.3,0.0,2.9,0.1
Honey Granola,Breads/Grains/Pasta/Cereal (MTO),"Crunchy cinnamon-spiced, honey-coated oats",,,,0.7,0.7,3.4,3.3,4.0
Toasted Coconut,Dessert/Dessert Topping (MTO),Toasted coconut flakes,,,,4.7,1.0,1.4,3.3,1.1
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh melon, pineapple and grapes","Honeydew, Cantaloupe, Red Grapes, Pineapple",,,2.6,1.8,3.7,2.2,1.7
Sliced Mushrooms,Fruit/Vegetable/Herb/Salad (MTO),Sliced fresh mushrooms,,,,2.1,4.1,4.8,4.5,4.6
Diced Onions,Fruit/Vegetable/Herb/Salad (MTO),Diced yellow onions,,,,1.3,0.5,1.2,1.8,3.5
Sliced Mixed Bell Peppers,Fruit/Vegetable/Herb/Salad (MTO),Sliced green and red bell peppers,,,,3.9,4.2,2.9,2.2,0.2
Diced Tomatoes,Fruit/Vegetable/Herb/Salad (MTO),Diced fresh tomatoes,,,,2.3,0.5,3.0,4.5,0.8
Toasted Pumpkin Seeds,Fruit/Vegetable/Herb/Salad (MTO),Crunchy pumpkin seeds,,,,2.8,4.9,2.9,4.0,3.1
Dried Cranberries,Fruit/Vegetable/Herb/Salad (MTO),Sweet-tart dried cranberries,,,,0.1,2.3,1.1,3.5,2.9
Fresh Fruit Salad,Fruit/Vegetable/Herb/Salad (MTO),"Fresh honey dew, cantaloupe, pineapple and grapes",,,,3.1,4.9,4.8,0.5,1.2
"GRAVY, SAUSAGE, MIX wr",Gravy,Southern Sausage Gravy ,"Water, Sausage Patty (Pork, Contains 2% or Less of: Water, Salt, Corn Syrup Solids, Flavorings, Sugar, Dextrose, BHT, Propyl Gallate, Citric Acid.), Gravy Mix (MALTODEXTRIN, WHEY, BLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MODIFIEDCORNSTARCH, CANOLA OIL, SOYBEAN OIL, SKIM MILK, TAPIOCA STARCH, SALT, 2% OR LESS OF HYDROLYZED SOY, CORN AND WHEAT PROTEINS, SODIUM CASEINATE, XANTHAN GUM, SPICES, SUGAR, YEAST EXTRACT, CITRIC ACID, DISODIUM INOSINATE, NATURAL FLAVORS, DEXTROSE, DISODIUM GUANYLATE), Tabasco Hot Sauce (DISTILLED VINEGAR, RED PEPPER, SALT.), Black Pepper",,,3.1,3.0,2.2,4.6,4.7
